TIME,GEO,Value
2010,Italy,375542550
2010,Italy,251098476
2010,Italy,124444074
2010,Italy,58148681
2010,Italy,66295393
2010,Italy,6344.68
2010,Italy,0
2010,Italy,0
2010,Italy,0
2010,Italy,0
2010,Italy,1246.26
2010,Italy,0
2010,Italy,0
2010,Italy,0
2010,Italy,0
2010,Italy,100
2010,Italy,0
2010,Italy,0
2010,Italy,0
2010,Italy,0
2010,Italy,1.29
2010,Italy,1.82
2010,Italy,0.24
2010,Italy,2.56
2010,Italy,-1.71
2011,Italy,386894732
2011,Italy,259910852
2011,Italy,126983880
2011,Italy,60121422
2011,Italy,66862458
2011,Italy,6517.25
2011,Italy,0
2011,Italy,0
2011,Italy,0
2011,Italy,0
2011,Italy,1283.93
2011,Italy,0
2011,Italy,0
2011,Italy,0
2011,Italy,0
2011,Italy,100
2011,Italy,0
2011,Italy,0
2011,Italy,0
2011,Italy,0
2011,Italy,3.02
2011,Italy,3.51
2011,Italy,2.04
2011,Italy,3.39
2011,Italy,0.86
2012,Italy,380711483
2012,Italy,255610143
2012,Italy,125101340
2012,Italy,68755439
2012,Italy,56345901
2012,Italy,6409.91
2012,Italy,0
2012,Italy,0
2012,Italy,0
2012,Italy,0
2012,Italy,1263.41
2012,Italy,0
2012,Italy,0
2012,Italy,0
2012,Italy,0
2012,Italy,100
2012,Italy,0
2012,Italy,0
2012,Italy,0
2012,Italy,0
2012,Italy,-1.6
2012,Italy,-1.65
2012,Italy,-1.48
2012,Italy,14.36
2012,Italy,-15.73
2013,Italy,376785615
2013,Italy,254759348
2013,Italy,122026267
2013,Italy,68889280
2013,Italy,53136987
2013,Italy,6313
2013,Italy,0
2013,Italy,0
2013,Italy,0
2013,Italy,0
2013,Italy,1247
2013,Italy,0
2013,Italy,0
2013,Italy,0
2013,Italy,0
2013,Italy,100
2013,Italy,0
2013,Italy,0
2013,Italy,0
2013,Italy,0
2013,Italy,-1
2013,Italy,-0.3
2013,Italy,-2.5
2013,Italy,0.2
2013,Italy,-5.7
